name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Riz soufflé au chocolat,riz souffle au chocolat,Brin de Jour,3564700849668,393.16,6.5,84.0,2.0,4.0,200.0,off,True,3955
biscuits cuillers,biscuits cuillers,bijou,00000721,350.0,7.0,72.0,3.5,1.2,164.0,off,True,3955
GUIGOZ Evolia Relais 2ème âge dès 6 mois 800g,guigoz evolia relais 2eme age des 6 mois 800g,Guigoz,7613032504892,498.0,9.6,58.8,24.3,2.9,180.0,off,True,3953
Taste of nature,taste of nature,Taste Of Nature,0059527501552,462.0,13.6,38.0,27.0,78.0,12.0,off,True,3951
Céréales cacao fourrées vanille,cereales cacao fourrees vanille,Day Break,3564700870563,449.57,6.3,70.0,15.0,3.6,320.0,off,True,3950
Poivre blanc moulu,poivre blanc moulu,Marque Repère,3564700611098,286.33,11.0,52.0,3.3,0,0,off,True,3948
Penafiel limonada,penafiel limonada,peñafiel,7501073839885,160.0,7.0,25.0,3.5,0,0,off,True,3946
Milkana vanille,milkana vanille,Milkana,3451790017834,70.0,2.7,13.3,0.6,0,40.0,off,True,3945
Eau thermale,eau thermale,La Roche-Posay,3337875665582,112.0,4.4,8.0,6.4,0,0,off,True,3943
Matabicheras fort dodge 500ml,matabicheras fort dodge 500ml,VEV,00000036,350.0,90.9,0,0,0,0,off,True,3937
Organic Erythritol Granulated,organic erythritol granulated,Weight Watchers,00000052,0,0,100.0,0,0,0,off,True,3922
Collagen For Her,collagen for her,Bodylab,00000017,123.0,1.76,24.7,1.76,1.76,35.3,off,True,3914
Barritas con proteínas,barritas con proteinas,Herbalife,00000260,129.0,1.18,29.4,0,1.18,23.5,off,True,3898
Barrette cioccolato e arachidi 1 barretta 35g.,barrette cioccolato e arachidi 1 barretta 35g.,Herbalife,00000259,398.0,28.0,45.0,12.0,1.0,44.0,off,True,3853
FRAC Clásica,frac clasica,Costa,7802215512261,464.0,4.6,69.0,21.0,3.1,301.0,off,True,3850
Parmentier de poissons,parmentier de poissons,,3700260210054,111.33,7.0,7.33,5.67,0.9,0,off,True,3816
Smecta orange-vanille,smecta orange-vanille,5.45$,3400931923077,52.0,58.0,5.0,3.0,0,800.0,off,True,3798
bijou cacao,bijou cacao,bijou,00000225,469.0,5.8,54.0,25.0,2.2,280.0,off,True,3764
uht jaouda 1L,uht jaouda 1l,Jaouda,6111242101180,58.0,3.0,4.8,3.0,0,0,off,False,3657
LBEN CARTON PASTEURISER,lben carton pasteuriser,Jaouda,6111242101050,45.0,3.2,4.8,1.3,0,0,off,False,3586
Salim uht,salim uht,Salim,6111032000600,58.0,3.0,4.8,3.0,0,0,off,False,3585
Cheeslé cream cheese,cheesle cream cheese,gastro mixte,6111259093096,225.0,5.4,4.3,21.0,0.2,300.0,off,False,3584
sauce tomate cuisinée,sauce tomate cuisinee,solis,8445290615350,68.0,1.6,7.6,0.4,2.0,400.0,off,False,3583
Star vinaigre de table BLANC,star vinaigre de table blanc,Star,6111184001661,1.0,0,0.15,0,0,0,off,False,3576
creme cheese le berger 900g,creme cheese le berger 900g,Le Berger,6111246721964,225.0,6.0,4.0,20.0,0,0,off,False,3576
fromage herbes milky food,fromage herbes milky food,milky foof,6111246722039,228.0,4.8,4.0,21.0,0,0,off,False,3573
Henry’s,henry’s,Henry’s,3362600011006,440.0,7.65,76.5,10.8,2.35,353.0,off,False,3572
