name,name_normalized,brand,barcode,kcal,protein,carbs,fat,fibres,sodium,source,sold_in_fr,popularity
Cold slice,cold slice,Yolo,7613413771875,160.0,8.0,6.5,11.0,1.6,1000.0,off,False,3161
Creamy milk,creamy milk,Whittaker's,9403142000852,564.0,9.2,52.0,35.6,0,72.0,off,False,3161
Cuire & Rôtir,cuire & rotir,Boni,5400141386936,738.0,0,0,82.0,0,400.0,off,False,3161
Dabur Honey,dabur honey,Dabur,8901207025372,320.0,0,80.0,0,0,17.27,off,False,3161
Dattes Medjool,dattes medjool,Gold,7421032268856,287.0,1.81,64.7,0.25,6.7,0,off,False,3161
Dattes deglet nour,dattes deglet nour,Takalid,6191319300241,277.0,0,0,0.06,2.77,0.92,off,False,3161
Energade,energade,Energade,6001324254371,19.12,0.2,4.0,0.1,1.0,31.0,off,False,3161
Filet de poulet,filet de poulet,Boni,5400141376081,94.0,18.0,0.8,2.1,0,787.0,off,False,3161
Filetes De Anchoa En Aceite De Oliva,filetes de anchoa en aceite de oliva,Anxoves de l'Escala,8411909011059,223.0,22.0,0.5,18.0,0,4600.0,off,False,3161
Frites de patate douce,frites de patate douce,Coop,7613379508249,148.0,1.8,20.0,5.7,4.8,204.0,off,False,3161
Gouda jeune OudenDijk,gouda jeune oudendijk,delhaize,5400112725603,375.0,24.4,0,30.8,0,720.0,off,False,3161
Graham de vel Pitat,graham de vel pitat,3 Brutari,5941143016624,235.0,9.6,42.0,2.0,5.2,1100.0,off,False,3161
Grain d'or,grain d'or,Nestlé,6194005293872,382.0,12.3,74.5,3.9,4.29,0.18,off,False,3161
High Protein 33% Coconut,high protein 33% coconut,BORN WINNER,5060961650268,340.0,33.3,36.7,13.2,1.1,160.0,off,False,3161
Kachir bellat ص,kachir bellat ص,bellat,6130586000065,140.0,12.1,14.2,3.8,0.3,120.0,off,False,3161
Ketchup Bonna,ketchup bonna,Bonna,6191575100517,103.0,0.5,23.0,0,0.5,780.0,off,False,3161
Lait demi-écrémé,lait demi-ecreme,delhaize,5400111000695,47.0,3.3,4.8,1.5,0,0,off,False,3161
Lait entier de la Gruyère,lait entier de la gruyere,Coop naturaplan,7610807244182,68.0,3.2,4.9,3.9,0,8.0,off,False,3161
Manteiga Açores com Sal,manteiga acores com sal,Hacendado,8480000212511,733.0,0.5,0.6,81.0,0,720.0,off,False,3161
Maïs grillées et salées,mais grillees et salees,Suntat,8690804002991,434.0,7.4,71.7,12.2,3.7,400.0,off,False,3161
Multifruits,multifruits,Naturaplan,7610848340454,67.0,1.0,15.0,0,1.5,4.0,off,False,3161
Nido,nido,nestle,8717896009315,508.0,23.6,40.0,28.2,0,300.0,off,False,3161
No sugar added,no sugar added,Belvas,5425007884586,454.0,4.5,6.9,36.0,48.5,12.0,off,False,3161
Nutella,nutella,Ferrero,0789742896507,530.59,5.56,55.6,33.3,5.56,56.4,off,False,3161
Ovesné mléko,ovesne mleko,Nature’s promise,8590421062685,51.0,1.0,9.0,1.0,0,36.0,off,False,3161
Pepsi,pepsi,Pepsi,06926102,42.3,0,11.8,0,0,4.23,off,False,3161
Picos,picos,Deli di Paolo,8718247440894,383.0,10.3,75.7,3.3,4.6,944.0,off,False,3161
Planted pulled bbq,planted pulled bbq,Planted,7649994063443,138.0,19.0,6.6,3.3,3.9,640.0,off,False,3161
ProActiv,proactiv,Pro Activ,8719200179073,346.0,0.5,0.5,39.0,0,120.0,off,False,3161
"Pâine cu semințe, feliată","paine cu seminte, feliata",Chef Gourmand,5941143026340,283.0,11.6,37.9,8.0,6.3,1.3,off,False,3161
Rayon noir,rayon noir,Cailler,7613287668127,532.0,7.6,50.1,31.8,7.8,4.0,off,False,3161
Royal,royal,Campi Plus,6191416500377,467.92,6.32,70.6,17.33,2.64,16.0,off,False,3161
Saffola Masala Veggie Twist Oats,saffola masala veggie twist oats,saffola,8901088068758,376.0,8.8,69.2,9.9,12.4,2283.0,off,False,3161
Tablette BO,tablette bo,,6111255772179,519.0,3.9,62.3,28.2,0,80.0,off,False,3161
Tomato ketchup,tomato ketchup,Devos Lemmens,5414972127552,138.0,1.5,32.0,0.1,0,826.0,off,False,3161
Top Ananas,top ananas,Top,6174000001573,50.0,0,12.6,0,0,1016.0,off,False,3161
Tortelloni au basilic,tortelloni au basilic,Delhaize,5400112213421,284.0,8.6,39.0,10.2,2.5,756.0,off,False,3161
Tortitas de Milho com Sal,tortitas de milho com sal,Continente,5600954501629,381.0,8.1,84.0,1.0,2.8,280.0,off,False,3161
fromage fondu pour tartine,fromage fondu pour tartine,Land'or,6194049401400,263.0,9.0,5.0,23.0,0,0,off,False,3161
salted peanuts,salted peanuts,haldiram's,8904004404630,637.0,20.62,21.85,51.91,3.33,425.0,off,False,3161
Пречистено краве масло,пречистено краве масло,Pilos,5905477003880,898.0,0.1,0.1,99.8,0,0,off,False,3161
Пълнозърнест хляб със семена от тиква и слънчоглед,пълнозърнест хляб със семена от тиква и слънчоглед,Живена,3800203686202,304.0,12.4,38.0,10.0,6.0,520.0,off,False,3161
Aigre douce,aigre douce,Boni,5400141046403,167.0,0.4,41.0,0,0,840.0,off,False,3160
Alta Qualita latte fresco,alta qualita latte fresco,conad,8003170018907,66.0,3.3,4.8,3.7,0,40.0,off,False,3160
Biscuiți,biscuiti,,5941101008418,393.0,9.0,72.5,6.7,3.3,0,off,False,3160
Blanc de dinde,blanc de dinde,Herta,7613036704885,105.0,22.0,0.9,1.5,0,760.0,off,False,3160
Boisson Soya Edensoy non sucré,boisson soya edensoy non sucre,Eden Food Inc.,0024182027068,52.0,5.2,2.0,2.4,0.4,4.0,off,False,3160
Chips de Bananes,chips de bananes,Boni Colruyt,5400141088625,530.0,2.3,51.0,34.0,7.7,8.0,off,False,3160
Cioccolato svizzero extrafondente 85%,cioccolato svizzero extrafondente 85%,Dolciando,8017596065452,599.0,10.0,18.0,50.0,15.0,12.0,off,False,3160
Corn Flakes,corn flakes,Nestlé,8690632074283,378.0,7.1,80.7,1.9,0,0,off,False,3160
Céréales All Bran (original),cereales all bran (original),Kellogg's,0064100001466,278.0,13.9,72.2,4.17,33.3,528.0,off,False,3160
Deluxe Snack Mix,deluxe snack mix,Kellogg's,5059321003257,395.0,7.1,47.0,18.0,0,124.0,off,False,3160
Doritos,doritos,Doritos,8690624201222,497.0,6.9,58.0,26.0,0,640.0,off,False,3160
Echalote & fines herbes,echalote & fines herbes,Lesieur,3265478931004,182.0,0.2,7.8,17.0,0,1280.0,off,False,3160
Filet de poulet,filet de poulet,Aoste,5411761258817,112.0,19.0,1.1,3.6,0,720.0,off,False,3160
Fleur de Fagne,fleur de fagne,,5411021102942,345.0,16.4,0,31.1,0,600.0,off,False,3160
Heinz ail grillé et tomates séchées,heinz ail grille et tomates sechees,Heinz,3660603081584,110.0,2.1,22.0,0.5,0,640.0,off,False,3160
Jus d orange,jus d orange,Solevita,4056489184645,43.0,0,9.0,0.5,0,0,off,False,3160
Kefir bianco naturale,kefir bianco naturale,Piacersi Conad,8003170101661,44.0,3.5,4.0,1.5,0,39.0,off,False,3160
Lait entier standarisé freefrom,lait entier standarise freefrom,Coop,7610848714491,65.0,3.2,4.9,3.6,0,40.0,off,False,3160
Leibniz Barre De Biscuits 'Pick Up! Black & White',leibniz barre de biscuits 'pick up! black & white',Leibniz,4017100213045,522.0,6.5,62.0,27.0,0,256.0,off,False,3160
Maasdam Organic 28%,maasdam organic 28%,Molenland,27040805,394.0,26.0,1.0,32.0,0,600.0,off,False,3160
Melbatoast,melbatoast,Delhaize,5400113683438,384.0,12.0,77.0,2.4,0,520.0,off,False,3160
Micropop - cheese,micropop - cheese,Mogyi,5997473544030,463.0,8.3,53.0,24.0,0,1200.0,off,False,3160
Mini eggs,mini eggs,Kinder,8000500338254,581.0,10.6,47.6,38.5,0,152.4,off,False,3160
Nescafe Classic Instant coffee,nescafe classic instant coffee,Nescafe,89009949,600.0,100.0,100.0,0,0,0,off,False,3160
Nesquik,nesquik,Nesquik,7613037057324,395.0,7.5,80.0,3.0,0,0,off,False,3160
Nesquik,nesquik,Nestlé,4607006370562,351.0,9.0,71.1,3.4,0,208.0,off,False,3160
Noisettes à tartiner,noisettes a tartiner,Delhaize,5400113706373,655.0,15.0,7.0,61.0,9.7,4.0,off,False,3160
Oeuf,oeuf,Boni,5400141518474,151.0,13.0,0,11.0,0,120.0,off,False,3160
Pain aux noix,pain aux noix,Migros,7616700037784,302.0,9.8,42.0,9.1,6.6,560.0,off,False,3160
Peanut&chocolate bar,peanut&chocolate bar,,8719979202767,513.0,20.0,35.0,31.0,0,160.0,off,False,3160
Redbull zero,redbull zero,Red Bull,90435898,9.0,0.02,0,0,0,8.0,off,False,3160
Soy Sauce,soy sauce,,6972102830103,55.0,4.1,9.3,0,0,7100.0,off,False,3160
Thé vert à la menthe Sucré Kyufi,the vert a la menthe sucre kyufi,KYUFI,6191469700304,47.9,0.27,3.8,0.13,0,0,off,False,3160
Toats lentilles,toats lentilles,Bosto,5410106095674,352.0,19.0,59.0,2.7,0,200.0,off,False,3160
Vanilla almond beverage,vanilla almond beverage,Member's Selection,0607766475259,43.75,0.42,6.67,1.04,0,75.0,off,False,3160
misura fibra extra,misura fibra extra,misura,8002590071455,400.0,5.83,56.7,15.0,9.17,100.0,off,False,3160
riz au lait,riz au lait,Everyday,5400141996548,109.0,3.4,21.0,1.3,0,13375.0,off,False,3160
Нектар от портокал,нектар от портокал,Solevita,20690779,39.0,0.5,9.5,0.5,0,8.0,off,False,3160
Boisson non sucrée soja,boisson non sucree soja,Delhaize,5400113666585,39.0,3.6,0.7,2.2,0.8,32.0,off,False,3159
Bravo Molle,bravo molle,Bravo,9008700122788,32.0,0.5,7.4,0.5,0,40.0,off,False,3159
Brown rice cakes,brown rice cakes,Rice Up,3800233070040,369.0,9.2,72.0,2.9,0,304.0,off,False,3159
Chewy spicy candies,chewy spicy candies,Hot Tamale,0070970474088,350.0,0,90.0,0,0,75.0,off,False,3159
Chips de Pois Chiche,chips de pois chiche,null,3277440000380,487.0,9.1,0.6,22.3,0,516.0,off,False,3159
Couscous,couscous,Bon-Ri,27008935,349.0,12.0,70.0,1.5,0,4.0,off,False,3159
Crema lala light,crema lala light,Lala,7501020514056,159.0,3.3,5.0,14.0,0,0,off,False,3159
Crème à café,creme a cafe,Coop,7610809127179,160.0,3.0,4.0,15.0,0,40.0,off,False,3159
Crémant 64% (cuisine),cremant 64% (cuisine),Naturaplan,7624841158503,560.0,6.5,43.0,38.0,10.0,0,off,False,3159
Dark Chocolate,dark chocolate,Lidl,5905858676030,508.0,6.0,51.4,28.9,9.1,16.0,off,False,3159
Eau fruité,eau fruite,Bucovina fructată,5942325001322,20.0,0,4.9,0,0,0,off,False,3159
Farine,farine,Cogédal,3301421003012,344.0,11.0,71.0,1.2,0,0,off,False,3159
Feta bio,feta bio,Danatel,5430001685008,287.0,17.6,0.1,24.0,0,960.0,off,False,3159
Fette biscottate con Grani germogliati,fette biscottate con grani germogliati,Colussi,8002590065485,410.0,13.0,72.0,6.1,7.4,308.0,off,False,3159
Fromage a tartiner,fromage a tartiner,Boni,5400141473674,242.0,11.0,2.0,20.0,4.8,760.0,off,False,3159
Grano daily granola croustillan,grano daily granola croustillan,VIPA,6191462200313,476.0,17.34,53.19,21.56,0,0,off,False,3159
Lightly Salted Crispy Baked Veggie Snacks,lightly salted crispy baked veggie snacks,Harvest Snaps,0071146002456,464.0,17.9,57.1,17.9,14.3,268.0,off,False,3159
Maredsous,maredsous,Maredsous,3073781181203,263.0,10.5,3.5,23.0,0,840.0,off,False,3159
Mini Picos,mini picos,snack day,20302214,406.0,10.4,68.6,9.2,3.4,633.0,off,False,3159
Mini-sandwiches,mini-sandwiches,M Classic,7613404016633,339.0,10.0,51.0,10.0,2.6,1500.0,off,False,3159
Pain croustillant,pain croustillant,Coop Prix Garantie,7624841827133,348.0,12.0,64.0,2.0,0,520.0,off,False,3159
Praliner med nougatfyllning,praliner med nougatfyllning,Marabou,7622210929525,547.0,5.2,57.0,33.0,1.9,138.0,off,False,3159
Pure fodant,pure fodant,le Pâtissier,20959302,424.71,4.8,42.0,25.0,2.7,0.11,off,False,3159
Pão de forma Sésamo e Linhaça,pao de forma sesamo e linhaca,Oroweat,5601027118539,262.0,12.0,38.0,5.4,6.0,396.0,off,False,3159
Sauce a l'ail,sauce a l'ail,Thomy,7613036976138,545.0,1.2,8.8,56.0,0,400.0,off,False,3159
Sauce cocktail,sauce cocktail,Boni,5400141431766,613.0,1.6,9.6,63.0,0.6,400.0,off,False,3159
Saucisson au persil,saucisson au persil,Carrefour,5400101490024,244.0,12.0,6.4,19.0,0,760.0,off,False,3159
Sirop de Framboise,sirop de framboise,Coop,7613413574032,99.0,0,24.0,0,0,12.0,off,False,3159
Soupe fraiche,soupe fraiche,,27077146,34.0,1.1,4.5,1.1,0.7,344.0,off,False,3159
"Sűrített paradicsom, 28-30 ref.% 0,5% étkezési sóval","suritett paradicsom, 28-30 ref.% 0,5% etkezesi soval",Baresa,20285685,98.0,4.5,13.4,0.5,3.6,200.0,off,False,3159
Thon entier à l'huile d'olive,thon entier a l'huile d'olive,SIDI JABEUR,6191506801285,182.0,24.98,0,9.13,0,348.0,off,False,3159
Zoo Original,zoo original,Bahlsen,4017100125119,445.75,8.4,74.0,12.0,2.5,440.0,off,False,3159
light,light,Becel,8719200263574,269.0,0.5,3.9,28.0,0,12.0,off,False,3159
Appy fizz,appy fizz,Parle,8902579002442,51.8,0,12.95,0,0,0,off,False,3158
Beurre de cacahuètes,beurre de cacahuetes,Helaes,27073247,646.0,23.0,10.0,56.0,7.5,220.0,off,False,3158
Biotta Wellness,biotta wellness,Biotta,7618500942916,40.0,0,10.0,0,0,20.0,off,False,3158
Buondi Integrale,buondi integrale,Motta,8014037003097,390.0,9.7,49.0,16.0,4.4,200.0,off,False,3158
Caffè lattesso espresso,caffe lattesso espresso,Cremo,7640145770425,58.0,2.5,9.0,1.2,0,60.0,off,False,3158
Cascaval,cascaval,Pilos,20366254,289.0,25.0,2.3,20.0,0.1,574.0,off,False,3158
Cereal Flakes au chocolat noir,cereal flakes au chocolat noir,Boni,5400141409796,413.0,8.8,77.0,4.9,3.9,360.0,off,False,3158
Chia seeds black,chia seeds black,coles wellness road,9300601965908,493.33,22.8,16.0,19.7,34.3,0,off,False,3158
Choco Bobbles,choco bobbles,K-Classic,4337185593482,364.0,8.0,73.0,3.4,4.6,0,off,False,3158
Clémentines Pressées,clementines pressees,Andros,3608580029915,44.0,0.7,10.0,0.1,0.2,0,off,False,3158
Cookies,cookies,Wellness,8600043029253,446.0,5.8,45.0,21.0,4.2,300.0,off,False,3158
"Cottage Cheese Original 4,3% fett","cottage cheese original 4,3% fett",TINE,7038010054471,96.0,13.0,1.5,4.3,0,0,off,False,3158
Country soft snack Apple Strawberry,country soft snack apple strawberry,Country,7627534142254,430.0,8.5,63.0,15.0,4.6,98.0,off,False,3158
Fanta citron,fanta citron,Fanta,5449000256621,9.0,0,0.1,0,0,160.0,off,False,3158
Founty Sardines Oil w / Chili,founty sardines oil w / chili,,6111242420021,218.0,23.0,0.1,14.0,0,280.0,off,False,3158
Galettes de riz au chocolat au lait,galettes de riz au chocolat au lait,Coop Qualité & Prix,7624841314138,494.0,6.6,66.0,22.0,2.6,68.0,off,False,3158
Hadelnuss ringe,hadelnuss ringe,Coppenrath,4006952008152,547.0,6.8,57.0,32.0,0,180.0,off,False,3158
Jambon bio,jambon bio,,3089731695003,111.0,20.0,0.9,3.0,0,800.0,off,False,3158
Jambon d’epaule et oeuf bio,jambon d’epaule et oeuf bio,Coop,7627534203870,287.0,11.0,17.0,15.0,0,560.0,off,False,3158
Jus de grenade 100%,jus de grenade 100%,Dimes,8690558019528,57.0,0,13.8,0.2,0,0,off,False,3158
Lentil cacao crunchy,lentil cacao crunchy,Migros,7613312315262,416.0,15.0,62.0,10.0,9.1,12.0,off,False,3158
Liégeois,liegeois,Everyday,5400141352917,92.0,3.3,15.0,1.8,0.6,39.0,off,False,3158
Matinettes Lait,matinettes lait,Jacques,5410059759913,559.0,8.1,49.8,35.9,0,92.0,off,False,3158
Mentos bubble fresh,mentos bubble fresh,Mentos,8003440993118,174.0,0,71.0,0,0,8.0,off,False,3158
Milk,milk,Almarai,6281007032261,62.0,3.04,5.12,3.28,0,50.0,off,False,3158
PC 100% Pure Maple Syrup,pc 100% pure maple syrup,President's Choice,0060383140502,350.0,0,88.3,0,0,0,off,False,3158
Peanut Butter 100% Arachidi,peanut butter 100% arachidi,Fiorentini,8002885007565,614.0,25.8,14.0,49.0,8.2,0,off,False,3158
Pindakaas met stukjes pinda,pindakaas met stukjes pinda,Vita d'Or,20977931,638.0,22.8,14.5,53.0,6.0,220.0,off,False,3158
Pomodoro e Mascarpone,pomodoro e mascarpone,Delhaize,5400113609933,96.0,2.0,4.9,7.2,0,380.0,off,False,3158
Protein bar,protein bar,Fizico,5941768002064,382.2,23.3,24.5,19.9,17.2,48.0,off,False,3158
Risibis,risibis,Valledoro,8009280002331,377.0,20.0,56.0,6.0,9.6,600.0,off,False,3158
Sauce Crudité Caesar,sauce crudite caesar,Amora,3758200461004,231.0,2.0,6.1,22.0,0,520.0,off,False,3158
Scandia - Bucegi Vegetarian Pate / Pate Vegetal,scandia - bucegi vegetarian pate / pate vegetal,Bucegi,5941341002993,270.0,2.1,3.6,27.3,0.7,510.0,off,False,3158
Snack,snack,Valledoro,8009280002249,404.0,17.0,63.0,8.0,5.8,600.0,off,False,3158
Swiss premium chocolate,swiss premium chocolate,Lindt,7610400076401,520.0,6.9,54.0,30.0,0,60.0,off,False,3158
Tortitas de Arroz Integral,tortitas de arroz integral,Continente,5601312070337,388.0,9.4,80.55,3.0,3.1,275.0,off,False,3158
Tropical,tropical,Boni,5400141377316,39.0,0.5,9.4,0.5,0,4.0,off,False,3158
Ur-Erdnüsse. Cacahuètes de Bolivie,ur-erdnusse. cacahuetes de bolivie,Ültje,4004980620001,603.0,25.0,11.0,50.0,0,400.0,off,False,3158
Vanilla cream wafer,vanilla cream wafer,Sly,5941768000091,461.9,4.4,61.8,26.8,0.8,208.0,off,False,3158
Waffy - choco flavoured wafer roll,waffy - choco flavoured wafer roll,Dukes,8906009803777,470.8,5.4,75.7,16.5,0,116.1,off,False,3158
gingerbread,gingerbread,Kaufland,4337185814440,365.0,6.0,68.0,7.0,3.3,196.0,off,False,3158
pane alla segale,pane alla segale,Certossa,4056489235743,227.0,7.4,43.3,1.3,6.1,400.0,off,False,3158
Овес и 3 супер семена,овес и 3 супер семена,Vereya,3800748051336,20.0,0.3,2.7,0.8,0.2,40.0,off,False,3158
Blé précuit,ble precuit,,3111952037826,358.0,13.4,69.4,1.62,6.38,0,off,False,3157
Boisson énergétique,boisson energetique,M Budget,7613269166009,45.0,0,11.0,0,0,80.0,off,False,3157
Chocolat,chocolat,,8435406705723,318.0,2.8,72.4,1.9,0,0,off,False,3157
Couscous moyen,couscous moyen,Mama    da180         متوسط,6130492000029,350.0,12.0,72.0,2.0,0,0,off,False,3157
Crème entière,creme entiere,Coop,7624841701013,336.0,2.2,3.1,35.0,0,24.0,off,False,3157
Dark Chocolate Sour Cherry,dark chocolate sour cherry,Nuts & Berries,5425036870819,373.0,8.0,37.0,21.5,0,107.0,off,False,3157
Escalope épinards,escalope epinards,Cornatur,7613269639435,216.0,11.0,9.0,14.0,5.0,520.0,off,False,3157
Fromage frais fouetté sucré,fromage frais fouette sucre,Everyday,5400141140583,110.0,7.1,12.0,3.9,0,32.0,off,False,3157
Frucht Snack,frucht snack,Sweet Valley,4099200011998,64.0,0.7,13.0,0.5,0,4.0,off,False,3157
Heinz Tomato Ketchup Flavour,heinz tomato ketchup flavour,Lay's,5410048100108,528.0,6.0,52.0,32.0,4.1,520.0,off,False,3157
Hot Chocolatta,hot chocolatta,,5941588015237,389.0,4.7,77.0,6.0,4.3,240.0,off,False,3157
Huile d'olive,huile d'olive,Auchan,11616177,14.0,0,0,100.0,0,0,off,False,3157
Humburger,humburger,,6111262582839,290.0,1.7,12.1,23.4,0,680.0,off,False,3157
Impact Barretta Proteica,impact barretta proteica,Myprotein,5059883097503,361.0,31.2,29.7,13.8,11.9,277.0,off,False,3157
La vinaigette aux herbes de Provence,la vinaigette aux herbes de provence,,6111073565205,342.0,0.1,2.5,36.0,0,960.0,off,False,3157
Lait entier AA,lait entier aa,Boni,5400141035681,65.25,3.3,4.9,3.6,0,52.0,off,False,3157
Le Chapeau,le chapeau,,6111251752984,266.0,10.0,7.0,22.0,0,400.0,off,False,3157
Lilibiggs : Yogurt Drink : Fraise,lilibiggs : yogurt drink : fraise,Migros,7613269423980,62.0,2.6,9.5,1.5,0.5,32.0,off,False,3157
Lindt,lindt,Lindt,0743434011234,643.0,7.14,35.7,52.4,7.14,83.3,off,False,3157
MAYONNAISE,mayonnaise,,6111242596146,669.0,1.5,2.5,73.0,0,0,off,False,3157
MORT DINDE NA 300 G,mort dinde na 300 g,,6111262903306,169.0,9.6,6.2,11.5,0,1500.0,off,False,3157
Muesli Bars summerfruit,muesli bars summerfruit,Delhaize,5400113612582,340.0,6.6,52.0,6.4,24.0,120.0,off,False,3157
Petit suisses entiers,petit suisses entiers,Delhaize,5400112129005,132.0,9.0,3.4,9.2,0,44.0,off,False,3157
Riso basmati,riso basmati,Vitakrone,20025564,354.0,6.7,80.4,0.4,1.0,5.2,off,False,3157
Seven7,seven7,,6111261540304,178.0,0.26,44.3,0,0,0,off,False,3157
Spaghetti 7 minutes,spaghetti 7 minutes,Everyday,5400141043495,354.0,11.8,72.0,1.5,2.5,12.0,off,False,3157
TAJ bladi,taj bladi,,6111251841572,100.0,0,1.0,0,1.0,0,off,False,3157
Taralli Caserecci Pugliesi,taralli caserecci pugliesi,Coop Fine Food,7610846351780,466.0,9.0,66.0,18.0,1.5,790.0,off,False,3157
Verdadeira Maionese,verdadeira maionese,Hellmann's,8712100417054,610.0,0.8,2.0,66.0,0,480.0,off,False,3157
Beurre non salé,beurre non sale,No Name,0060383685003,700.0,1.0,0,80.0,0,0,off,False,3156
Bâtons aux noisettes aux céréales complètes,batons aux noisettes aux cereales completes,Migros Bio,7617400037623,466.0,10.0,61.0,19.0,5.7,4.0,off,False,3156
Cake au Citron de Mamie,cake au citron de mamie,Migros,7616700117776,408.0,7.0,49.0,20.0,2.0,200.0,off,False,3156
Chapelure,chapelure,Everyday,5400141184044,349.0,11.5,69.6,1.7,0,400.0,off,False,3156
Chocolat Lait Noisettes,chocolat lait noisettes,Prix garantie,1117277777777,556.0,6.2,55.0,34.0,2.5,60.0,off,False,3156
Chocomel,chocomel,Campina,8712800187646,87.0,3.2,12.0,2.7,0,48.0,off,False,3156
Chpis lays,chpis lays,FritoLay,8964000090282,669.0,8.44,56.2,28.4,4.69,1440.0,off,False,3156
Crema di Mandorle Pelate Bio 100%,crema di mandorle pelate bio 100%,Euro Company,8009750923838,666.0,27.0,7.4,57.0,7.6,0,off,False,3156
Flora pro activ,flora pro activ,Flora,9354237000021,571.22,10.0,10.0,64.0,0,360.0,off,False,3156
GRANOLA sem açucar,granola sem acucar,Pingo Doce,5607047005965,399.0,9.9,47.0,15.0,19.0,48.0,off,False,3156
Greek style,greek style,Pur Natur Bio,5412971016976,134.0,3.4,12.2,8.0,0,40.0,off,False,3156
Instant Cappuccino,instant cappuccino,Boni Selection,5400141422221,429.0,8.7,72.0,11.0,3.4,400.0,off,False,3156
Lait demi-écrémé,lait demi-ecreme,inex,5410441220021,46.0,3.2,4.7,1.6,0,52.0,off,False,3156
Lion Cereals,lion cereals,Nestlé,7613034728371,84.4,1.69,15.2,1.54,1.46,40.8,off,False,3156
Little Hearts,little hearts,Brotannica,8901063019188,486.0,7.4,70.0,19.5,0,0,off,False,3156
Maamoul whith dates,maamoul whith dates,Daoud Brothers,6211027165212,5.0,3.0,9.0,9.0,0,400.0,off,False,3156
Mandel - Amande yogurt,mandel - amande yogurt,,7613404154151,86.0,2.0,8.0,5.0,0.5,0,off,False,3156
Maple Pecan Granola avec épeautre et quinoa,maple pecan granola avec epeautre et quinoa,Karma,7613356248083,433.0,9.0,59.0,15.0,12.0,200.0,off,False,3156
Mario thon entier à l'huile végétale,mario thon entier a l'huile vegetale,mario,6111248551507,205.2,26.1,0,11.2,0,400.0,off,False,3156
Max double crunch,max double crunch,Lays,8710398524683,506.67,7.67,60.0,24.67,5.67,240.0,off,False,3156
Mizo coffee selection,mizo coffee selection,Mizo,5998200473609,79.0,2.9,9.2,3.3,0,40.0,off,False,3156
Nesquik alphabet,nesquik alphabet,Nestlé,8690632040615,383.0,7.7,75.0,4.0,0,204.0,off,False,3156
Nutri protéines intense,nutri proteines intense,St Rolan,3338880000849,283.0,26.5,10.0,12.7,0,440.0,off,False,3156
Oro Grano fondente,oro grano fondente,Saiwa,7622210954008,448.0,8.1,69.0,14.0,0,304.0,off,False,3156
Pacimo,pacimo,,8697439303707,430.0,3.0,63.9,16.7,0,134.0,off,False,3156
Pains hamburgers,pains hamburgers,Boni,5400141183986,296.0,10.0,50.0,5.8,0,520.0,off,False,3156
Patato Sticks,patato sticks,Lidl,20998189,544.0,5.7,52.0,34.0,0,480.0,off,False,3156
Plant-Based coconut nature,plant-based coconut nature,V-Love,7613404552209,105.0,1.0,2.7,10.0,0,0,off,False,3156
Pocket Pomme belge + fraises,pocket pomme belge + fraises,Materne,5410046996000,51.0,0.5,9.6,0.5,2.0,4.0,off,False,3156
Raisin bran deux pelletées,raisin bran deux pelletees,Kellogg's,0064100108028,327.0,9.09,80.0,1.82,12.7,455.0,off,False,3156
Ravioli tomates rôties et burrata,ravioli tomates roties et burrata,Voltan,8006515610323,281.0,8.5,27.0,15.0,2.2,320.0,off,False,3156
Red Tea,red tea,Arizona,0613008756765,20.0,0,4.9,0,0,0,off,False,3156
Regia,regia,Freia,7622300277239,395.0,9.4,73.0,6.3,4.5,500.0,off,False,3156
Sabor a Manteiga,sabor a manteiga,Planta,8719200265271,677.0,0.5,0.5,75.0,0,1300.0,off,False,3156
Soy sauce,soy sauce,Go tan,8710605018622,60.0,9.1,5.5,0,0,5200.0,off,False,3156
Svježi krem sir,svjezi krem sir,Belje,3859888858008,234.0,6.1,3.0,22.0,0,300.0,off,False,3156
TIRAMISÙ,tiramisu,MIGROS SÉLECTION,7613269547907,311.0,4.0,35.0,17.0,1.0,48.0,off,False,3156
Toasts au fromage,toasts au fromage,Boni Selection,5400141399844,0,13.0,72.0,3.5,0,480.0,off,False,3156
Toasts au froment,toasts au froment,Boni,5400141263152,380.0,13.0,72.0,3.5,0,480.0,off,False,3156
Turkish Delight Orbis,turkish delight orbis,Захарни Заводи,3800771007218,340.0,0,85.0,0,0,32.0,off,False,3156
YELLOW LABEL TEA,yellow label tea,lipton,6281006802735,1.0,0.1,0,0,0,0,off,False,3156
Дижонска горчица,дижонска горчица,Bornier,3104717600014,149.0,7.2,3.2,11.5,0,2600.0,off,False,3156
Мини моцарела,мини моцарела,Lovilio,4056489126874,245.0,18.0,1.5,18.5,0,160.0,off,False,3156
Ancora Uno frolla al cacao con gocce di cioccolato,ancora uno frolla al cacao con gocce di cioccolato,Galbusera,8002190006772,494.0,7.0,62.4,23.2,4.0,232.0,off,False,3155
Andalouse,andalouse,La William,5410426008606,536.0,2.0,8.3,55.0,0,0,off,False,3155
Apla,apla,,6194019602455,42.0,0,10.0,0,0.01,0,off,False,3155
Apéricube Salsa,apericube salsa,Apéricube,3073781054835,230.0,12.0,5.0,18.0,0,870.0,off,False,3155
BI-CARBONATE DE SODIUM L'EXPERIENCE,bi-carbonate de sodium l'experience,PHARMACIE L'EXPEREINCE LTD,0001037514355,22.23,0.14,5.36,0.33,0,8720.0,off,False,3155
